timestamp,symbol,type,entry,stop_loss,take_profit,atr,rr,notes,outcome,pnl_percentage,exit_price,exit_time
2025-09-25 04:00:00,BTCUSDT,SHORT_ENGULFING,112099.33,112323.52866,111538.83335,740.3889453658006,2.5,bearish_engulfing,,,,
2025-09-25 08:00:00,BTCUSDT,SHORT_SHOOTINGSTAR,111860.28,112084.00056,111300.9786,791.2592855702735,2.5,shooting_star,,,,
2025-09-25 10:00:00,BTCUSDT,SHORT_SHOOTINGSTAR,111689.965,111913.34493,111131.515175,827.6855027915607,2.5,shooting_star,,,,
2025-09-25 15:00:00,BTCUSDT,LONG_HAMMER,111228.325,111005.86835,111784.466625,880.9896565875699,2.5,hammer,,,,
2025-09-26 01:00:00,BTCUSDT,LONG_ENGULFING,109537.88,109318.80424,110085.5694,518.7562930550928,2.5,bullish_engulfing,,,,
2025-09-26 03:00:00,BTCUSDT,LONG_HAMMER,109464.525,109245.59595,110011.847625,540.4367659100485,2.5,hammer,,,,
2025-09-26 18:00:00,BTCUSDT,SHORT_SHOOTINGSTAR,110000.0,110220.0,109450.0,358.4644291384666,2.5,shooting_star,,,,
2025-09-30 12:00:00,BTCUSDT,SHORT_SHOOTINGSTAR,113123.37,113349.61674,112557.75315,705.9252773205735,2.5,shooting_star,,,,
2025-09-30 14:00:00,BTCUSDT,LONG_HAMMER,113265.065,113038.53487,113831.390325,722.0347594960502,2.5,hammer,,,,
2025-10-01 16:00:00,BTCUSDT,SHORT_SHOOTINGSTAR,117759.02,117994.53804,117170.2249,704.5560691958905,2.5,shooting_star,,,,
2025-10-02 13:00:00,BTCUSDT,LONG_HAMMER,119347.305,119108.61039,119944.041525,785.0888910388339,2.5,hammer,,,,
2025-10-02 16:00:00,BTCUSDT,SHORT_SHOOTINGSTAR,119953.91,120193.81782,119354.14045,683.6976954986621,2.5,shooting_star,,,,
2025-10-03 11:00:00,BTCUSDT,LONG_HAMMER,120300.88,120060.27824,120902.3844,828.2703859046985,2.5,hammer,,,,
2025-10-03 16:00:00,BTCUSDT,SHORT_SHOOTINGSTAR,123076.515,123322.66803,122461.132425,720.1696098197597,2.5,shooting_star,,,,
2025-10-05 00:00:00,BTCUSDT,SHORT_ENGULFING,122283.85,122528.4177,121672.43075,1020.3427617619664,2.5,bearish_engulfing,,,,
2025-10-10 21:00:00,BTCUSDT,SHORT_ENGULFING,108556.345,108773.45769,108013.563275,2357.4219975496844,2.5,bearish_engulfing,,,,
2025-10-11 15:00:00,BTCUSDT,SHORT_ENGULFING,112089.565,112313.74413,111529.117175,999.3449129272336,2.5,bearish_engulfing,,,,
2025-10-11 18:00:00,BTCUSDT,LONG_HAMMER,111930.925,111707.06315,112490.579625,1105.5618029459863,2.5,hammer,,,,
2025-10-12 11:00:00,BTCUSDT,LONG_ENGULFING,111805.47,111581.85906,112364.49735,1076.3508127818386,2.5,bullish_engulfing,,,,
2025-10-13 09:00:00,BTCUSDT,LONG_HAMMER,115001.305,114771.30239,115576.311525,1009.586694722064,2.5,hammer,,,,
2025-10-14 12:00:00,BTCUSDT,SHORT_ENGULFING,111049.22,111271.31844,110493.9739,1062.704587673578,2.5,bearish_engulfing,,,,
