timestamp,open,high,low,close,volume,close_time,quote_asset_volume,number_of_trades,taker_buy_base_volume,taker_buy_quote_volume,ignore
2025-09-12 06:00:00,115612.84,115612.85,115260.38,115318.0,301.68688,1757660399999,34817296.42889330,44961,122.41614000,14126177.05386760,0
2025-09-12 07:00:00,115318.01,115405.79,115086.7,115086.7,495.74469,1757663999999,57121341.15692680,51687,182.90563000,21080948.70136780,0
2025-09-12 08:00:00,115086.7,115273.12,114950.0,115048.0,931.11012,1757667599999,107131801.52022390,79541,529.16477000,60879255.52130460,0
2025-09-12 09:00:00,115047.99,115127.05,114888.01,115048.01,372.62834,1757671199999,42851082.27924040,63270,191.83213000,22059156.60321430,0
2025-09-12 10:00:00,115048.0,115093.49,114926.42,114980.85,227.81735,1757674799999,26197451.49999790,50356,103.41942000,11892027.00639640,0
2025-09-12 11:00:00,114980.84,115148.0,114901.03,114913.45,427.23394,1757678399999,49115366.51030330,49340,235.03923000,27019862.72020300,0
2025-09-12 12:00:00,114913.45,115172.57,114740.99,115083.97,620.574,1757681999999,71332703.55552480,85340,360.40923000,41433178.09436660,0
2025-09-12 13:00:00,115083.98,115214.29,114822.77,115166.45,371.74126,1757685599999,42752658.95458530,126450,173.19751000,19919024.16912810,0
2025-09-12 14:00:00,115166.46,115500.95,114865.3,115260.0,719.98267,1757689199999,82966657.00264060,209313,385.11132000,44387847.88167420,0
2025-09-12 15:00:00,115260.0,115294.1,114939.53,115121.18,329.84108,1757692799999,37964831.57051230,123921,124.38624000,14317608.87599950,0
2025-09-12 16:00:00,115121.18,115514.77,115030.3,115495.56,536.60395,1757696399999,61876399.52708580,120294,321.48862000,37073646.47973410,0
2025-09-12 17:00:00,115495.56,115939.39,115395.66,115815.16,944.1093,1757699999999,109305296.14655020,123044,527.04676000,61015636.68186090,0
2025-09-12 18:00:00,115815.16,116495.0,115769.88,116486.18,1014.39133,1757703599999,117868555.36716840,122838,635.31466000,73806069.06733730,0
2025-09-12 19:00:00,116486.19,116665.63,116238.64,116632.51,1368.73979,1757707199999,159457111.59827480,119224,841.78769000,98076164.56562590,0
