timestamp,open,high,low,close,volume
1746572400000,96259.94,96920.65,96102.72,96834.02,1561.0235
1746568800000,94688.99,96293.88,94684.77,96259.94,2145.62831
1746565200000,94682.23,94800.0,94452.75,94688.99,258.69487
1746561600000,94963.5,95020.0,94632.5,94682.23,334.30989
1746558000000,95067.36,95157.0,94923.49,94963.5,488.90954
1746554400000,94535.93,95088.0,94504.84,95067.36,617.6658
1746550800000,94241.01,94856.53,94232.05,94535.93,527.86999
1746547200000,94558.94,94850.0,94216.0,94241.01,702.36173
1746543600000,94147.01,94733.38,94080.09,94558.95,655.62537
1746540000000,93616.91,94705.17,93612.01,94147.02,1158.07394
1746536400000,93936.0,94019.86,93377.0,93616.92,1216.74306
1746532800000,93812.53,94040.0,93761.97,93935.99,892.19632
1746529200000,93942.83,94066.55,93720.63,93812.54,569.28808
1746525600000,94211.96,94329.63,93861.93,93942.83,952.04682
1746522000000,94375.89,94375.9,94113.02,94211.96,394.38809
1746518400000,94400.98,94400.99,94003.0,94375.9,750.85954
1746514800000,94498.12,94638.01,94348.57,94400.99,463.16874
1746511200000,94345.57,94498.12,94335.11,94498.11,166.28019
1746507600000,94574.57,94603.03,94308.63,94345.56,415.59566
1746504000000,94454.01,94583.82,94350.83,94574.57,265.48199
1746500400000,94334.99,94512.33,94233.96,94454.01,443.01047
1746496800000,94312.59,94400.0,94012.78,94334.99,407.51157
1746493200000,94598.89,94926.99,94312.59,94312.6,370.75779
1746489600000,94733.68,94779.99,94428.58,94598.89,365.15387
1746486000000,95049.48,95129.76,94724.52,94733.68,389.87902
1746482400000,94719.83,95199.0,94719.82,95049.48,601.63917
1746478800000,94242.01,94831.75,94242.01,94719.82,385.77053
1746475200000,94347.16,94365.19,93876.0,94242.02,332.90812
1746471600000,94730.39,94900.0,94289.92,94347.17,408.27957
1746468000000,94500.01,94900.0,94443.56,94730.39,448.44051
1746464400000,94206.31,94625.0,94060.59,94500.0,808.59817
1746460800000,93770.32,94280.0,93759.63,94206.31,673.96047
1746457200000,93879.37,93977.13,93613.66,93770.31,718.82999
1746453600000,94226.38,94531.74,93730.43,93879.37,1219.57947
1746450000000,94333.33,94413.92,93635.78,94226.38,1740.41182
1746446400000,94038.19,94346.59,93908.3,94333.33,505.90389
1746442800000,94121.88,94282.48,93888.0,94038.18,690.58723
1746439200000,94550.62,94558.0,94047.79,94121.89,686.41681
1746435600000,94559.2,94648.47,94467.65,94550.63,422.95101
1746432000000,94761.91,94798.01,94489.93,94559.19,741.14212
1746428400000,94761.14,94825.46,94528.36,94761.91,686.95355
1746424800000,94732.77,94774.11,94573.59,94761.13,572.76764
1746421200000,94409.66,94757.62,94228.57,94732.77,548.84952
1746417600000,94031.47,94443.69,94020.66,94409.66,527.17304
1746414000000,94236.66,94299.25,94016.6,94031.47,708.86733
1746410400000,93929.0,94400.2,93514.1,94236.67,1251.31986
1746406800000,94724.12,94754.97,93711.08,93929.0,1247.1533
1746403200000,94277.61,94808.4,94200.0,94724.11,932.79975
1746399600000,95015.82,95037.4,94151.38,94277.62,1308.4485
1746396000000,95676.0,95690.48,94724.57,95015.82,1114.48671
1746392400000,95719.99,95758.08,95630.0,95675.99,158.95366
1746388800000,95584.07,95735.0,95582.25,95719.99,158.45621
1746385200000,95389.07,95640.98,95348.3,95584.07,198.19245
1746381600000,95410.08,95493.05,95364.0,95389.07,159.81219
1746378000000,95341.57,95481.62,95239.33,95410.08,233.31093
1746374400000,95467.6,95568.0,95300.0,95341.56,272.45717
1746370800000,95611.0,95690.48,95424.5,95467.6,299.31438
1746367200000,95369.38,95647.8,95313.7,95611.07,530.30708
1746363600000,95462.24,95595.24,95209.07,95369.37,674.42935
1746360000000,95423.19,95594.58,95417.15,95462.24,477.89798
1746356400000,95400.47,95550.0,95360.0,95423.2,536.26108
1746352800000,95485.01,95525.67,95286.78,95400.47,773.39161
1746349200000,95647.27,95689.65,95440.82,95485.01,310.07736
1746345600000,95879.99,95923.54,95423.16,95647.27,527.23215
1746342000000,95905.75,96082.8,95808.8,95879.99,490.02708
1746338400000,96042.71,96142.86,95866.06,95905.74,692.73061
1746334800000,95725.52,96134.93,95692.7,96042.72,424.92585
1746331200000,95722.22,95939.33,95722.22,95725.52,172.37453
1746327600000,95892.28,95898.94,95667.94,95722.23,179.1173
1746324000000,96099.94,96304.48,95804.68,95892.28,417.46141
1746320400000,95880.95,96185.67,95588.0,96099.94,601.08361
1746316800000,95856.42,96042.92,95772.4,95880.95,325.63422
1746313200000,96170.19,96173.53,95753.01,95856.42,689.66646
1746309600000,96266.17,96369.37,96166.67,96170.18,201.41291
1746306000000,96341.29,96441.49,96238.09,96266.17,190.04681
1746302400000,96354.34,96388.89,96290.69,96341.29,104.27579
1746298800000,96146.98,96357.15,96125.15,96354.34,116.44402
1746295200000,96191.57,96271.5,96100.0,96146.99,126.74718
1746291600000,96215.4,96215.4,95869.68,96191.56,350.19773
1746288000000,96418.68,96428.33,96080.59,96215.41,306.55723
1746284400000,96380.96,96509.44,96325.65,96418.68,188.69143
1746280800000,96329.99,96459.67,96292.63,96380.95,304.05512
1746277200000,96120.43,96330.0,96106.53,96330.0,346.99789
1746273600000,95942.01,96163.81,95880.65,96120.42,608.21922
1746270000000,95896.49,96083.53,95865.0,95942.02,562.672
1746266400000,96254.02,96254.02,95852.29,95896.5,1141.24134
1746262800000,96281.0,96396.23,96173.0,96254.01,318.86883
1746259200000,96322.68,96421.91,96150.0,96281.0,599.65552
1746255600000,96183.5,96391.7,96157.1,96322.68,410.18653
1746252000000,96417.15,96417.15,96132.67,96183.5,539.08747
1746248400000,96519.04,96593.0,96407.97,96417.14,306.91209
1746244800000,96337.5,96589.2,96307.88,96519.05,252.68819
1746241200000,96533.5,96535.96,96300.02,96337.5,761.61563
