timestamp,symbol,type,entry,stop_loss,take_profit,atr,rr,notes,outcome,pnl_percentage,exit_price,exit_time,pnl_usd,position_size,balance_after_trade
2025-08-29 16:00:00,BTCUSDT,LONG_WYCKOFF_SPRING,108705.67,107843.44880961,110142.70531732,574.8141269266812,1.67,wyckoff_spring,WIN,1.666666666670526,110142.70531732,2025-09-09 01:00:00,166.6666666670526,0.1159795202374552,10166.666666667054
2025-08-29 14:00:00,BTCUSDT,SHORT_WYCKOFF_UPTHRUST,108198.67,109151.86197029,106610.01671619,635.4613135235162,1.67,wyckoff_upthrust,LOSS,-1.0,109151.86197029,2025-09-09 01:00:00,-101.66666666667054,0.10665917237609424,10065.000000000384
2025-08-29 02:00:00,BTCUSDT,SHORT_SHOOTINGSTAR,111419.98,112626.06880113,109409.83199811,804.0592007559696,1.67,shooting_star,LOSS,-1.0,112626.06880113,2025-09-08 16:00:00,-100.65000000000384,0.08345156667212544,9964.35000000038
2025-08-28 13:00:00,BTCUSDT,SHORT_WYCKOFF_UPTHRUST,112832.0,113946.38614899,110974.68975168,742.9240993275429,1.67,wyckoff_upthrust,WIN,1.666666666669661,110974.68975168,2025-09-08 06:00:00,166.07250000030473,0.08941559448698592,10130.422500000685
2025-08-27 20:00:00,BTCUSDT,LONG_HAMMER,112419.07,111298.72691847,114286.30846922,746.8953876881872,1.67,hammer,LOSS,-1.0,111298.72691847,2025-09-09 01:00:00,-101.30422500000685,0.09042250241922288,10029.118275000677
2025-08-27 19:00:00,BTCUSDT,LONG_HAMMER,112080.69,110950.06821001,113965.05964999,753.7478599961739,1.67,hammer,LOSS,-1.0,110950.06821001,2025-09-08 06:00:00,-100.29118275000678,0.08870444885985539,9928.82709225067
2025-08-27 14:00:00,BTCUSDT,SHORT_SHOOTINGSTAR,111815.94,112976.19825851,109882.17623582,773.505505670182,1.67,shooting_star,LOSS,-1.0,112976.19825851,2025-09-05 14:00:00,-99.28827092250671,0.08557428503031056,9829.538821328164
2025-08-26 17:00:00,BTCUSDT,LONG_HAMMER,109988.07,108915.54751885,111775.60746858,715.0149874302094,1.67,hammer,WIN,1.6666666666635372,111775.60746858,2025-09-09 00:00:00,163.82564702182844,0.09164879052967241,9993.364468349992
2025-08-26 13:00:00,BTCUSDT,LONG_HAMMER,110094.66,108951.9194647,111999.22755883,761.8270235317115,1.67,hammer,WIN,1.6666666666637335,111999.22755883,2025-09-09 00:00:00,166.55607447220675,0.08745086185051104,10159.920542822198
2025-08-25 20:00:00,BTCUSDT,SHORT_WYCKOFF_UPTHRUST,109561.96,110825.49564105,107456.06726492,842.3570940335425,1.67,wyckoff_upthrust,LOSS,-1.0,110825.49564105,2025-09-09 01:00:00,-101.59920542822198,0.08040865815529609,10058.321337393976
2025-08-25 14:00:00,BTCUSDT,LONG_WYCKOFF_SPRING,112260.0,110766.82537027,114748.62438289,995.4497531554324,1.67,wyckoff_spring,LOSS,-1.0,110766.82537027,2025-09-08 02:00:00,-100.58321337393977,0.06736198926185054,9957.738124020036
2025-08-24 19:00:00,BTCUSDT,SHORT_WYCKOFF_UPTHRUST,112600.0,114411.88075777,109580.19873705,1207.920505179666,1.67,wyckoff_upthrust,WIN,1.6666666666666612,109580.19873705,2025-09-04 17:00:00,165.96230206700005,0.054958021278815494,10123.700426087036
2025-08-24 15:00:00,BTCUSDT,SHORT_SHOOTINGSTAR,114400.0,116073.72611523,111610.45647462,1115.8174101529687,1.67,shooting_star,WIN,1.6666666666646668,111610.45647462,2025-09-09 01:00:00,168.7283404345815,0.06048600385670523,10292.428766521618
2025-08-22 12:00:00,BTCUSDT,SHORT_WYCKOFF_UPTHRUST,112341.5,113957.84467211,109647.59221315,1077.563114740724,1.67,wyckoff_upthrust,WIN,1.6666666666666634,109647.59221315,2025-09-04 17:00:00,171.54047944202665,0.06367719054058997,10463.969245963644
